,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Pressure,Humidity,Cloudiness,Wind Speed
333,6148373,sioux lookout,ca,50.1,-91.92,31.46,979.97,76.0,56.0,8.41
334,2075265,busselton,au,-33.64,115.35,64.4,1032.25,100.0,64.0,13.11
335,4030556,rikitea,pf,-23.12,-134.97,80.06,1032.49,100.0,24.0,10.54
336,6167817,torbay,ca,47.66,-52.73,35.15,1021.95,82.0,48.0,18.25
337,1852357,shimoda,jp,34.7,138.93,59.36,1023.66,98.0,44.0,8.52
338,4020109,atuona,pf,-9.8,-139.03,77.99,1028.03,100.0,88.0,16.02
339,2094027,kieta,pg,-6.22,155.63,79.52,1000.8,95.0,24.0,6.4
340,2194098,ahipara,nz,-35.17,173.16,57.38,1005.74,98.0,36.0,24.85
341,4011743,constitucion,mx,23.99,-104.67,74.84,821.74,32.0,0.0,4.83
342,3899539,antofagasta,cl,-23.65,-70.4,70.79,941.14,77.0,12.0,3.94
343,933995,souillac,mu,-20.52,57.52,76.01,1014.9,94.0,32.0,1.03
345,2136825,isangel,vu,-19.55,169.27,77.99,1018.95,100.0,56.0,19.48
346,2022572,khatanga,ru,71.98,102.47,11.12,1031.19,79.0,36.0,8.97
347,2163355,hobart,au,-42.88,147.33,57.11,1000.47,85.0,88.0,3.49
348,101312,turayf,sa,31.68,38.65,60.8,1012.0,48.0,0.0,11.41
349,2126199,cherskiy,ru,68.75,161.3,-5.53,1024.14,70.0,32.0,5.06
350,2155415,new norfolk,au,-42.78,147.06,52.16,982.97,88.0,88.0,6.73
351,3374346,ponta do sol,cv,17.2,-25.09,70.25,1026.82,100.0,0.0,21.83
352,1817968,anshun,cn,26.25,105.93,59.9,875.08,96.0,36.0,11.77
